id,nazwisko,pensja,stanowisko
90,Koral,11321,Project Manager
91,Grzelak,14297,Project Manager
92,Kotowski,5749,HR Specialist
93,Łuczak,12990,Data Analyst
94,Maciejewski,15575,DevOps Engineer
95,Krakowiak,15923,Project Manager
96,Borkowski,11240,DevOps Engineer
97,Sroka,10605,Project Manager
98,Bieniek,6882,Junior Data Engineer
99,Kowalczyk,6090,HR Specialist
100,Żuk,14949,Project Manager
101,Jóźwiak,5813,HR Specialist
102,Jurek,19674,DevOps Engineer
103,Bąk,20150,Senior Data Engineer
104,Wróbel,15858,Project Manager
105,Mach,15490,Project Manager
106,Kobus,12286,Data Engineer
107,Pałka,6901,HR Specialist
108,Stępień,11582,Data Analyst
109,Kisiel,12614,Data Analyst
110,Wrona,7079,HR Specialist
111,Płonka,16324,DevOps Engineer
112,Żuk,16474,DevOps Engineer
113,Lipski,11325,DevOps Engineer
114,Michalski,24619,Senior Data Engineer
115,Kisiel,17759,Senior Data Engineer
116,Kuczyński,8660,Data Analyst
117,Wieczorek,12582,Data Engineer
118,Kijek,21793,Senior Data Engineer
119,Kubat,5434,HR Specialist
120,Zawadzki,13227,Data Engineer
121,Dudek,10800,Software Engineer
122,Kubat,9819,Data Analyst
123,Kupiec,12119,Data Analyst
124,Kujawski,18498,DevOps Engineer
125,Kozłowski,8101,Junior Data Engineer
126,Karaś,22237,Senior Data Engineer
127,Chmielewski,15533,DevOps Engineer
128,Madejski,15524,Project Manager
129,Morawski,9570,Software Engineer
130,Sawicki,13876,Data Analyst
131,Wilk,7595,HR Specialist
132,Malec,13037,Software Engineer
133,Tkaczyk,6663,Junior Data Engineer
134,Malinowski,17547,Senior Data Engineer
135,Pawlak,11304,Data Analyst
136,Wróblewski,23632,Senior Data Engineer
137,Kowalczyk,8018,Junior Data Engineer
138,Lipiński,15032,Software Engineer
139,Jasiński,14680,Data Engineer
140,Laskowski,18219,DevOps Engineer
141,Krakowiak,12874,DevOps Engineer
142,Majchrzak,10694,Project Manager
143,Gajewski,6911,HR Specialist
144,Krajewski,7091,HR Specialist
145,Kołek,15079,Data Engineer
146,Żuk,25344,Senior Data Engineer
147,Krupa,7534,HR Specialist
148,Jarosz,8916,Junior Data Engineer
149,Morawski,7956,HR Specialist
150,Piotrowski,11565,Software Engineer
151,Kaczmarek,7983,Junior Data Engineer
152,Pietrzak,5306,HR Specialist
153,Żuk,10462,Data Engineer
154,Łuczak,24075,Senior Data Engineer
155,Lorenc,12282,Data Analyst
156,Staszewski,6328,HR Specialist
157,Duda,12870,Data Engineer
158,Garbacz,10330,Software Engineer
159,Kulig,18223,Senior Data Engineer
160,Tomaszewski,16988,DevOps Engineer
161,Kuś,9633,Data Analyst
162,Maciejewski,16983,Project Manager
163,Łuczak,24170,Senior Data Engineer
164,Wojciechowski,6317,Junior Data Engineer
165,Majewski,18395,DevOps Engineer
166,Filipek,15648,Software Engineer
167,Malik,17337,Software Engineer
168,Kędzierski,6728,Junior Data Engineer
169,Michalski,15849,Project Manager
170,Bąk,8007,Junior Data Engineer
171,Kubala,15416,Data Engineer
172,Michalski,14612,Software Engineer
173,Pawłowski,12609,Data Analyst
174,Jankowski,11218,Data Analyst
175,Laskowski,14595,Data Engineer
176,Wróbel,8805,Junior Data Engineer
177,Łuczak,14590,Project Manager
178,Mazur,5011,HR Specialist
179,Gruszka,8109,Data Analyst
180,Kucharz,7165,Junior Data Engineer
181,Gołąb,15664,Software Engineer
182,Dudek,16525,Project Manager
183,Kujawa,8485,Junior Data Engineer
184,Maciejewski,19080,Senior Data Engineer
185,Kulpa,13834,Project Manager
186,Witkowski,13489,Data Analyst
187,Kujawski,11455,Software Engineer
188,Maj,7883,HR Specialist
189,Kozłowski,13718,Data Analyst
190,Kozłowski,13379,Project Manager
191,Maj,22178,Senior Data Engineer
192,Maj,15809,Software Engineer
193,Kowalski,16247,Project Manager
194,Madej,5592,HR Specialist
195,Michalak,7782,Junior Data Engineer
196,Dziedzic,11891,Data Engineer
197,Maj,13914,Project Manager
198,Jaworski,23844,Senior Data Engineer
199,Lach,6667,Junior Data Engineer
200,Górski,10487,Project Manager
201,Borkowski,12606,Project Manager
202,Kogut,7961,Junior Data Engineer
203,Łuczak,11627,Project Manager
204,Kozłowski,10387,Software Engineer
205,Bednarek,14000,Data Engineer
206,Wrona,12694,Data Analyst
207,Maciejewski,17263,Software Engineer
208,Kucharz,10789,Project Manager
209,Morawski,20559,Senior Data Engineer
210,Brzeziński,8230,Data Analyst
211,Kapusta,11652,Data Engineer
212,Jasiński,22244,Senior Data Engineer
213,Stasiak,6861,HR Specialist
214,Nowak,15349,Software Engineer
215,Frankowski,17655,Software Engineer
216,Furman,6128,Junior Data Engineer
217,Kurek,6864,HR Specialist
218,Pawłowski,16371,DevOps Engineer
219,Nowak,22854,Senior Data Engineer
220,Krakowiak,22375,Senior Data Engineer
221,Karaś,12064,Data Analyst
222,Zieliński,21549,Senior Data Engineer
223,Płonka,15364,DevOps Engineer
224,Kamiński,19340,DevOps Engineer
225,Zawadzki,11189,Data Analyst
226,Kotowski,12321,Project Manager
227,Stasiak,11569,Software Engineer
228,Kuc,10174,Software Engineer
229,Lis,13073,Data Engineer
230,Lasota,17266,Senior Data Engineer
231,Jóźwiak,15276,Data Engineer
232,Pałka,16312,DevOps Engineer
233,Witkowski,15327,Software Engineer
234,Sobolewski,17043,Senior Data Engineer
235,Kłos,21278,Senior Data Engineer
236,Jarosz,12386,Software Engineer
237,Kaczmarczyk,7322,Junior Data Engineer
238,Kaczmarczyk,11325,Data Analyst
239,Krakowiak,17887,DevOps Engineer
240,Krakowiak,6500,Junior Data Engineer
241,Kupiec,5691,HR Specialist
242,Kupiec,8248,Junior Data Engineer
243,Mazur,11511,Data Engineer
244,Lach,7976,HR Specialist
245,Malik,12212,DevOps Engineer
246,Ziółkowski,16806,Project Manager
247,Ziółkowski,12373,Data Engineer
248,Jasiński,8744,Data Analyst
249,Pawłowski,13922,Data Engineer
250,Bieniek,12034,Project Manager
251,Żuk,8490,Junior Data Engineer
252,Walczak,6453,Junior Data Engineer
253,Kurek,17464,DevOps Engineer
254,Lis,17300,Software Engineer
255,Kisiel,12632,Data Analyst
256,Olszewski,7386,HR Specialist
257,Kulig,5370,HR Specialist
258,Olszewski,8013,Data Analyst
259,Szczepanik,12527,Data Analyst
260,Kłos,11650,Data Analyst
261,Kisiel,19713,Senior Data Engineer
262,Sawicki,18312,Senior Data Engineer
263,Lipka,14529,Software Engineer
264,Gąsior,14866,Project Manager
265,Kozak,11956,Data Engineer
266,Karpiński,11121,Data Analyst
267,Brzeziński,15040,Project Manager
268,Dąbrowski,8437,Junior Data Engineer
269,Laskowski,19841,DevOps Engineer
270,Janus,18055,DevOps Engineer
271,Kłos,15805,Project Manager
272,Jabłoński,6668,Junior Data Engineer
273,Sikorski,5413,HR Specialist
274,Mazur,7759,Junior Data Engineer
275,Pietrzak,5053,HR Specialist
276,Mach,9238,Software Engineer
277,Komorowski,12482,Data Analyst
278,Lis,7737,HR Specialist
279,Tkaczyk,13204,DevOps Engineer
280,Majewski,6418,Junior Data Engineer
281,Jaworski,19936,DevOps Engineer
282,Iskra,10084,Data Analyst
283,Staszewski,10807,Software Engineer
284,Grabowski,13448,DevOps Engineer
285,Kopeć,7614,Junior Data Engineer
286,Wiśniewski,10349,Data Engineer
287,Skiba,6195,HR Specialist
288,Idzik,14969,Project Manager
289,Dudek,14133,Software Engineer
290,Bednarek,8581,Data Analyst
291,Kubica,15106,Software Engineer
292,Nowakowski,22603,Senior Data Engineer
293,Mach,5279,HR Specialist
294,Domagała,10866,Software Engineer
295,Kupiec,8988,Junior Data Engineer
296,Knap,6524,HR Specialist
297,Lewandowski,9109,Data Analyst
298,Prus,14527,Project Manager
299,Kopeć,10526,Data Analyst
300,Zięba,18380,Senior Data Engineer
301,Dudek,21906,Senior Data Engineer
302,Konieczny,8804,Junior Data Engineer
303,Ziółkowski,7077,Junior Data Engineer
304,Zalewski,7571,Junior Data Engineer
305,Jóźwiak,7606,HR Specialist
306,Prus,23571,Senior Data Engineer
307,Kubat,8886,Junior Data Engineer
308,Łuczak,13840,Project Manager
309,Sikora,16789,Project Manager
310,Wróblewski,8331,Junior Data Engineer
311,Kubiak,11598,Data Engineer
312,Gwóźdź,10352,Data Analyst
313,Krajewski,21638,Senior Data Engineer
314,Kozieł,23125,Senior Data Engineer
315,Kotowski,11417,Data Analyst
316,Gruszka,5718,HR Specialist
317,Klimas,7718,HR Specialist
318,Sawicki,12028,Data Analyst
319,Jarosz,12393,Data Engineer
320,Klimas,15220,DevOps Engineer
321,Malinowski,15698,Data Engineer
322,Kubat,9404,Software Engineer
323,Krakowiak,7297,HR Specialist
324,Furman,6445,HR Specialist
325,Jabłoński,10517,Data Engineer
326,Szczepański,16379,Software Engineer
327,Filipek,7379,Junior Data Engineer
328,Kłos,14847,Data Engineer
329,Szewczyk,12912,Data Engineer
330,Karaś,15926,DevOps Engineer
331,Makowski,11394,DevOps Engineer
332,Drzewiecki,15674,Data Engineer
333,Wróbel,14616,Data Engineer
334,Godlewski,14177,Software Engineer
335,Kubica,7880,Junior Data Engineer
336,Kozieł,6623,HR Specialist
337,Gołąb,8813,Data Analyst
338,Sawicki,13497,Data Analyst
339,Lipiński,12421,DevOps Engineer
340,Wieczorek,10790,Project Manager
341,Kucharz,16159,DevOps Engineer
342,Kijek,14006,Data Engineer
343,Borkowski,7536,HR Specialist
344,Włodarczyk,19809,Senior Data Engineer
345,Wieczorek,24590,Senior Data Engineer
346,Grabowski,14532,Data Engineer
347,Kijek,7227,Junior Data Engineer
348,Leśniak,11045,Project Manager
349,Jarosz,13301,Data Engineer
350,Janicki,24310,Senior Data Engineer
351,Pawłowski,12917,DevOps Engineer
352,Karpiński,17301,DevOps Engineer
353,Sawicki,12322,DevOps Engineer
354,Dąbrowski,16260,Project Manager
355,Mach,7172,HR Specialist
356,Szczepański,10536,Project Manager
357,Marciniak,7992,Junior Data Engineer
358,Kwiatkowski,6748,HR Specialist
359,Janicki,9736,Software Engineer
360,Prus,13533,Project Manager
361,Stępień,21573,Senior Data Engineer
362,Mikołajczyk,15846,Data Engineer
363,Szymański,18186,DevOps Engineer
364,Tokarz,12603,Software Engineer
365,Głowacki,10343,Project Manager
366,Filipek,13069,Data Analyst
367,Włodarczyk,13784,Project Manager
368,Idzik,6469,Junior Data Engineer
369,Zalewski,6675,Junior Data Engineer
370,Kuśnierz,6570,HR Specialist
371,Kwiecień,9802,Data Analyst
372,Król,11621,Data Analyst
373,Zawadzki,23746,Senior Data Engineer
374,Strzelczyk,22139,Senior Data Engineer
375,Pawlak,7236,Junior Data Engineer
376,Kulig,18914,Senior Data Engineer
377,Kubiak,7180,HR Specialist
378,Ostrowski,6048,Junior Data Engineer
379,Żuk,10003,Software Engineer
380,Wrona,18543,DevOps Engineer
381,Kwiatkowski,11216,Data Engineer
382,Szewczyk,7977,HR Specialist
383,Kubica,5811,HR Specialist
384,Wróbel,22125,Senior Data Engineer
385,Kucharski,12295,Project Manager
386,Klimas,9982,Software Engineer
387,Ciesielski,7193,HR Specialist
388,Kałuża,12957,Data Analyst
389,Kucharz,12706,DevOps Engineer
390,Jakubowski,18371,Senior Data Engineer
391,Malec,17845,DevOps Engineer
392,Kwiecień,16081,Software Engineer
393,Idzik,9343,Software Engineer
394,Kołek,11085,Data Analyst
395,Kosowski,11660,Data Engineer
396,Lipiński,17383,DevOps Engineer
397,Michalski,9503,Software Engineer
398,Kozak,6535,Junior Data Engineer
399,Kostrzewa,17915,DevOps Engineer
400,Knap,13760,Project Manager
401,Zalewski,15300,Software Engineer
402,Wasilewski,18761,DevOps Engineer
403,Jóźwiak,9520,Data Analyst
404,Jaworski,7614,HR Specialist
405,Sawicki,7022,HR Specialist
406,Kwiecień,11939,Data Analyst
407,Ostrowski,20762,Senior Data Engineer
408,Leśniak,15844,Software Engineer
409,Bednarek,13669,Data Engineer
410,Guzik,10694,Software Engineer
411,Włodarczyk,12050,Project Manager
412,Karpiński,6295,Junior Data Engineer
413,Kmiecik,12482,Data Engineer
414,Jankowski,23329,Senior Data Engineer
415,Kołodziej,14771,Data Engineer
416,Tomaszewski,23363,Senior Data Engineer
417,Wójcik,9490,Software Engineer
418,Kubat,12192,Software Engineer
419,Mazur,16446,Software Engineer
420,Kobus,12675,DevOps Engineer
421,Pałka,18780,Senior Data Engineer
422,Czajkowski,18009,DevOps Engineer
423,Malinowski,11197,Software Engineer
424,Głowacki,16153,Project Manager
425,Krajewski,15810,Project Manager
426,Kowalczyk,13948,Data Analyst
427,Gruszka,12308,DevOps Engineer
428,Maciejewski,12548,Project Manager
429,Wróblewski,6537,HR Specialist
430,Sikora,7408,HR Specialist
431,Guzik,7250,Junior Data Engineer
432,Gąsior,19764,DevOps Engineer
433,Bieniek,12103,Data Analyst
434,Dudek,10621,Data Analyst
435,Kijek,7719,HR Specialist
436,Kot,11407,Data Analyst
437,Chmielewski,9235,Software Engineer
438,Szulc,5904,HR Specialist
439,Piotrowski,10647,Data Engineer
440,Sobolewski,6213,Junior Data Engineer
441,Pawłowski,10654,Data Engineer
442,Kasprzak,12384,Project Manager
443,Wróblewski,15948,Project Manager
444,Kulpa,12944,Project Manager
445,Witkowski,17488,Software Engineer
446,Kozłowski,11404,Data Analyst
447,Filipek,7050,HR Specialist
448,Komorowski,20083,Senior Data Engineer
449,Kozłowski,15419,DevOps Engineer
450,Jezierski,19655,Senior Data Engineer
451,Madej,17830,Software Engineer
452,Kubala,8220,Junior Data Engineer
453,Sroka,8751,Data Analyst
454,Wrona,11399,Data Engineer
455,Kobus,11415,DevOps Engineer
456,Michalak,13345,Software Engineer
457,Mazur,6683,HR Specialist
458,Żuk,12413,Data Engineer
459,Czajkowski,13386,Project Manager
460,Brzeziński,15209,Software Engineer
461,Jasiński,5228,HR Specialist
462,Leśniak,12926,Project Manager
463,Adamski,11051,Data Analyst
464,Kowalczyk,8332,Data Analyst
465,Pietrzak,18266,DevOps Engineer
466,Klimek,23942,Senior Data Engineer
467,Lorenc,13005,Data Analyst
468,Dąbrowski,13963,Project Manager
469,Kaczmarek,5875,HR Specialist
470,Kozłowski,8952,Junior Data Engineer
471,Brzeziński,7046,HR Specialist
472,Pawlak,11932,Project Manager
473,Nowakowski,7712,Junior Data Engineer
474,Jabłoński,11166,Project Manager
475,Kuśnierz,9474,Data Analyst
476,Kuc,8637,Data Analyst
477,Drzewiecki,10893,Data Analyst
478,Zalewski,23233,Senior Data Engineer
479,Kasprzak,7551,Junior Data Engineer
480,Kotowski,17076,Senior Data Engineer
481,Lach,5058,HR Specialist
482,Pietrzak,7159,HR Specialist
483,Zając,6703,Junior Data Engineer
484,Krakowiak,5837,HR Specialist
485,Kuśnierz,14364,Data Engineer
486,Laskowski,7661,Junior Data Engineer
487,Marciniak,7849,Junior Data Engineer
488,Górecki,11867,Data Analyst
489,Kulig,12653,Software Engineer
490,Kołodziej,15242,DevOps Engineer
491,Karpiński,14528,Data Engineer
492,Klimas,15649,Project Manager
493,Dudek,12464,Data Analyst
494,Krupa,7337,HR Specialist
495,Janicki,12631,Data Engineer
496,Malinowski,13463,Data Engineer
497,Kopeć,5073,HR Specialist
498,Kołodziej,18988,Senior Data Engineer
499,Hajduk,18884,Senior Data Engineer
500,Sawicki,8441,Junior Data Engineer
501,Dziedzic,10170,Data Engineer
502,Garbacz,17869,Software Engineer
503,Kucharz,11570,DevOps Engineer
504,Nowicki,13844,Project Manager
505,Król,5775,HR Specialist
506,Kulig,16518,Project Manager
507,Wiśniewski,6339,Junior Data Engineer
508,Kołodziej,25222,Senior Data Engineer
509,Dąbrowski,11833,Data Analyst
510,Bieniek,5296,HR Specialist
511,Leśniak,7855,HR Specialist
512,Kuśnierz,5622,HR Specialist
513,Czajkowski,12282,Data Analyst
514,Strzelczyk,11361,Project Manager
515,Lasota,7441,Junior Data Engineer
516,Dziedzic,5696,HR Specialist
517,Kucharski,16677,Project Manager
518,Jankowski,7694,HR Specialist
519,Mach,12579,Data Engineer
520,Mazur,17421,DevOps Engineer
521,Ziółkowski,24097,Senior Data Engineer
522,Nowak,13897,Software Engineer
523,Ciesielski,15276,Data Engineer
524,Maj,14631,Data Engineer
525,Żuk,25544,Senior Data Engineer
526,Majewski,19676,Senior Data Engineer
527,Chmielewski,12505,DevOps Engineer
528,Jabłoński,15992,Project Manager
529,Malinowski,20190,Senior Data Engineer
530,Kałuża,6049,HR Specialist
531,Kuś,14211,Project Manager
532,Kisiel,14203,Project Manager
533,Płonka,9224,Software Engineer
534,Ostrowski,12635,Project Manager
535,Kwiatkowski,14397,Project Manager
536,Jabłoński,12345,Data Engineer
537,Kamiński,8934,Junior Data Engineer
538,Kasprzak,11345,Project Manager
539,Pałka,9637,Software Engineer
540,Kucharz,7474,HR Specialist
541,Ciesielski,16325,Software Engineer
542,Szczepanik,5469,HR Specialist
543,Gruszka,23606,Senior Data Engineer
544,Kubiak,11836,Data Engineer
545,Kuczyński,14626,Data Engineer
546,Pawłowski,6201,Junior Data Engineer
547,Idzik,10442,Data Engineer
548,Kwiecień,13944,DevOps Engineer
549,Kosiński,13902,Data Analyst
550,Drzewiecki,11899,Software Engineer
551,Ostrowski,5321,HR Specialist
552,Lorenc,6543,Junior Data Engineer
553,Jezierski,17309,Senior Data Engineer
554,Sikora,13626,Data Engineer
555,Kuśnierz,8291,Junior Data Engineer
556,Malec,6371,HR Specialist
557,Sobczak,12493,Data Analyst
558,Lasota,12063,Data Analyst
559,Wilk,14055,Project Manager
560,Grzelak,13085,DevOps Engineer
561,Krakowiak,8584,Junior Data Engineer
562,Górecki,12753,Data Analyst
563,Zięba,20053,Senior Data Engineer
564,Szczepanik,19680,Senior Data Engineer
565,Klimek,13578,Data Engineer
566,Szczepański,11886,Software Engineer
567,Olszewski,7587,HR Specialist
568,Strzelczyk,5016,HR Specialist
569,Ziółkowski,7441,Junior Data Engineer
570,Borkowski,23235,Senior Data Engineer
571,Kostrzewa,13175,Data Engineer
572,Kołek,10384,Data Analyst
573,Wróbel,10285,Data Analyst
574,Kogut,13555,Data Engineer
575,Nowicki,8861,Junior Data Engineer
576,Stasiak,19531,Senior Data Engineer
577,Leśniak,10046,Software Engineer
578,Kuczyński,5338,HR Specialist
579,Wilk,10331,Project Manager
580,Kupiec,19203,Senior Data Engineer
581,Bieniek,7737,Junior Data Engineer
582,Jankowski,13658,Software Engineer
583,Jarosz,10526,Data Engineer
584,Lach,21901,Senior Data Engineer
585,Guzik,13620,Data Analyst
586,Kujawski,7791,HR Specialist
587,Krupa,16766,Project Manager
588,Garbacz,7959,HR Specialist
589,Bąk,24283,Senior Data Engineer
590,Borkowski,15391,Project Manager
591,Ostrowski,8029,Data Analyst
592,Kmiecik,7412,Junior Data Engineer
593,Wasilewski,13143,Data Analyst
594,Jakubowski,19467,Senior Data Engineer
595,Skiba,6450,HR Specialist
596,Szewczyk,10547,Data Engineer
597,Malik,7069,HR Specialist
598,Ziółkowski,7645,HR Specialist
599,Pawłowski,14954,Project Manager
600,Kobus,6182,Junior Data Engineer
601,Lasota,6440,HR Specialist
602,Szymański,12495,Data Engineer
603,Włodarczyk,9141,Data Analyst
604,Kowalczyk,6824,HR Specialist
605,Kot,9378,Data Analyst
606,Kuciński,6371,Junior Data Engineer
607,Lach,19861,Senior Data Engineer
608,Idzik,8782,Data Analyst
609,Woźniak,13355,Data Analyst
610,Pietrzak,10577,Project Manager
611,Kozieł,9374,Data Analyst
612,Gąsior,8091,Junior Data Engineer
613,Kobus,6629,Junior Data Engineer
614,Kubiak,17574,Senior Data Engineer
615,Krajewski,19986,Senior Data Engineer
616,Iskra,10291,Data Analyst
617,Kałuża,6957,Junior Data Engineer
618,Kamiński,11463,Software Engineer
619,Wróbel,18382,Senior Data Engineer
620,Mróz,9491,Software Engineer
621,Majchrzak,11211,Project Manager
622,Zalewski,8393,Junior Data Engineer
623,Garbacz,14091,Project Manager
624,Kołodziej,6116,Junior Data Engineer
625,Lasota,7894,Junior Data Engineer
626,Strzelczyk,22384,Senior Data Engineer
627,Lewandowski,7275,Junior Data Engineer
628,Szczepanik,13714,DevOps Engineer
629,Olszewski,11908,Data Engineer
630,Jaworski,11434,Project Manager
631,Jakubowski,15283,Project Manager
632,Żuk,15863,DevOps Engineer
633,Wrona,11946,Software Engineer
634,Wójcik,12344,Project Manager
635,Górecki,16494,DevOps Engineer
636,Janus,7519,HR Specialist
637,Pawłowski,6334,HR Specialist
638,Kozak,16278,DevOps Engineer
639,Tokarz,7658,HR Specialist
640,Kot,10055,Software Engineer
641,Włodarczyk,8369,Junior Data Engineer
642,Stępień,12691,Data Engineer
643,Lach,15353,DevOps Engineer
644,Głowacki,13620,Software Engineer
645,Bednarek,15876,DevOps Engineer
646,Kozak,14944,DevOps Engineer
647,Stępień,7155,Junior Data Engineer
648,Kępa,20502,Senior Data Engineer
649,Kmiecik,19182,Senior Data Engineer
650,Pietrzak,13956,Software Engineer
651,Zięba,10354,Data Engineer
652,Czajka,16062,DevOps Engineer
653,Komorowski,8844,Junior Data Engineer
654,Kisiel,11772,Data Engineer
655,Jóźwiak,14173,Project Manager
656,Gruszka,21965,Senior Data Engineer
657,Kupiec,11550,Data Analyst
658,Kobus,8552,Data Analyst
659,Leśniak,15017,Data Engineer
660,Pawłowski,15680,Data Engineer
661,Kosiński,13049,DevOps Engineer
662,Adamski,7657,HR Specialist
663,Klimek,7741,HR Specialist
664,Kowalski,6291,HR Specialist
665,Jaworski,11173,Data Analyst
666,Wójcik,11178,Data Engineer
667,Kubala,22487,Senior Data Engineer
668,Kowalski,10162,Project Manager
669,Majchrzak,23567,Senior Data Engineer
670,Sroka,10308,Data Engineer
671,Wróbel,6777,HR Specialist
672,Konieczny,22179,Senior Data Engineer
673,Marciniak,21913,Senior Data Engineer
674,Kozłowski,13657,Data Engineer
675,Prus,22017,Senior Data Engineer
676,Jezierski,10987,Data Analyst
677,Sobczak,12626,DevOps Engineer
678,Jaworski,8058,Junior Data Engineer
679,Baran,11198,Data Engineer
680,Garbacz,17958,DevOps Engineer
681,Gacek,13316,Project Manager
682,Szulc,9072,Software Engineer
683,Wójcik,15811,Data Engineer
684,Gołąb,5820,HR Specialist
685,Bieniek,10139,Data Analyst
686,Zalewski,20839,Senior Data Engineer
687,Guzik,17334,Senior Data Engineer
688,Gwóźdź,15713,Data Engineer
689,Zięba,15818,Data Engineer
690,Gąsior,11407,Data Engineer
691,Lipiński,6167,HR Specialist
692,Madejski,13135,Data Analyst
693,Żuk,9358,Software Engineer
694,Nowak,13546,Data Engineer
695,Krakowiak,9256,Data Analyst
696,Grabowski,6028,HR Specialist
697,Krajewski,12218,Project Manager
698,Gacek,13312,Data Engineer
699,Bieniek,17155,DevOps Engineer
700,Strzelczyk,12686,Project Manager
701,Zięba,10175,Software Engineer
702,Malik,8439,Junior Data Engineer
703,Kubiak,7151,Junior Data Engineer
704,Pietrzak,16564,Project Manager
705,Michalski,19017,Senior Data Engineer
706,Dudek,6162,HR Specialist
707,Guzik,11201,Software Engineer
708,Kowalczyk,15940,DevOps Engineer
709,Kwiatkowski,25984,Senior Data Engineer
710,Kowalski,8564,Junior Data Engineer
711,Klimas,12689,Project Manager
712,Wróbel,7377,Junior Data Engineer
713,Czajkowski,21117,Senior Data Engineer
714,Sadowski,8210,Junior Data Engineer
715,Kaczmarek,8357,Data Analyst
716,Szewczyk,5425,HR Specialist
717,Kubica,13922,DevOps Engineer
718,Wójcik,15455,Project Manager
719,Filipek,23919,Senior Data Engineer
720,Kamiński,12498,DevOps Engineer
721,Witkowski,16115,DevOps Engineer
722,Kucharski,9325,Software Engineer
723,Baran,6233,Junior Data Engineer
724,Czajka,22254,Senior Data Engineer
725,Ziółkowski,7893,HR Specialist
726,Sobczak,12953,Data Analyst
727,Malinowski,8660,Data Analyst
728,Szulc,11417,Project Manager
729,Garbacz,9588,Software Engineer
730,Kuczyński,21109,Senior Data Engineer
731,Sikora,8039,Data Analyst
732,Kujawa,5954,HR Specialist
733,Mróz,16490,Project Manager
734,Filipek,7390,HR Specialist
735,Iskra,9282,Software Engineer
736,Brzeziński,14238,Project Manager
737,Bąk,7499,Junior Data Engineer
738,Nowicki,17573,DevOps Engineer
739,Furman,19798,Senior Data Engineer
740,Wieczorek,13969,Software Engineer
741,Stępień,5373,HR Specialist
742,Kubica,13065,Data Analyst
743,Lipski,16536,Software Engineer
744,Madej,18056,Senior Data Engineer
745,Gacek,8259,Junior Data Engineer
746,Kołek,6179,HR Specialist
